# basal spacing [nm], hydration energy
201
1.424427269764573, 1.1239748977981725
1.4273700234273254, 1.106263958320257
1.4303127770900779, 1.0885345808203584
1.4332555307528303, 1.070786766361693
1.4361982844155827, 1.0530205160064452
1.4391410380783354, 1.03523583081577
1.4420837917410878, 1.0174327118497948
1.4450265454038402, 0.999611160167621
1.4479692990665927, 0.9817711768273258
1.450912052729345, 0.963912762885965
1.4538548063920977, 0.946035919399574
1.4567975600548504, 0.92814064742317
1.4597403137176028, 0.9102269480107544
1.4626830673803553, 0.8922958362451902
1.4656258210431077, 0.8743495734136345
1.46856857470586, 0.8563881514645264
1.4715113283686128, 0.8384115624301232
1.4744540820313652, 0.8204197984254004
1.4773968356941176, 0.8024128516469703
1.48033958935687, 0.7843907143720183
1.4832823430196225, 0.7663533789572575
1.4862250966823751, 0.7483008378378997
